,Content_ID,Reaction_Type,Datetime,Content_Type,Category,Sentiment,Score,,,,,,,,,,
62,230c4e4d-70c3-461d-b42c-ec09396efb3f,adore,10-01-2021 15:36,photo,healthy eating,positive,72,,,,,,,,,,
65,230c4e4d-70c3-461d-b42c-ec09396efb3f,adore,24-10-2020 12:15,photo,healthy eating,positive,72,,,,,,,,,,
86,230c4e4d-70c3-461d-b42c-ec09396efb3f,adore,07-08-2020 04:09,photo,healthy eating,positive,72,,,,,,,,,,
87,230c4e4d-70c3-461d-b42c-ec09396efb3f,adore,23-10-2020 21:19,photo,healthy eating,positive,72,,,,,,,,,,
88,230c4e4d-70c3-461d-b42c-ec09396efb3f,adore,14-11-2020 23:53,photo,healthy eating,positive,72,,,,,,,,,,
107,cf1e8c1a-23eb-4426-9f58-002fb1b53e91,adore,25-11-2020 12:45,GIF,cooking,positive,72,,,,,,,,,,
112,cf1e8c1a-23eb-4426-9f58-002fb1b53e91,adore,14-05-2021 14:33,GIF,cooking,positive,72,,,,,,,,,,
120,cf1e8c1a-23eb-4426-9f58-002fb1b53e91,adore,10-05-2021 22:07,GIF,cooking,positive,72,,,,,,Reaction_Type,Score,,,
164,3f8590c7-6ab2-4973-805a-90cdec355f05,adore,30-01-2021 09:36,video,dogs,positive,72,,,,,,adore,72,,,
169,0bedca96-fb76-4287-a83c-17330ed39cce,adore,13-07-2020 02:38,photo,soccer,positive,72,,,,,,cherish,70,,,
176,0bedca96-fb76-4287-a83c-17330ed39cce,adore,19-08-2020 13:38,photo,soccer,positive,72,,,,,,disgust,0,,,
189,b18cb63f-4c8e-44ee-a47f-541e95191d11,adore,07-01-2021 14:08,photo,public speaking,positive,72,,,,,,dislike,10,,,
206,b18cb63f-4c8e-44ee-a47f-541e95191d11,adore,14-07-2020 04:36,photo,public speaking,positive,72,,,,,,hate,5,,,
212,b18cb63f-4c8e-44ee-a47f-541e95191d11,adore,26-06-2020 23:45,photo,public speaking,positive,72,,,,,,heart,60,,Top 5 Categories,
217,b18cb63f-4c8e-44ee-a47f-541e95191d11,adore,01-10-2020 15:10,photo,public speaking,positive,72,,,,,,indifferent,20,,Super love,75
230,5118e9c5-1377-4cc5-a486-65b35b7b7b76,adore,29-08-2020 11:37,GIF,science,positive,72,,,,,,interested,30,,adore,72
240,5118e9c5-1377-4cc5-a486-65b35b7b7b76,adore,17-04-2021 22:45,GIF,science,positive,72,,,,,,intrigued,45,,cherish,70
306,81abd65a-3b76-4574-a0a7-db6bf7184ae2,adore,28-02-2021 09:21,video,food,positive,72,,,,,,like,50,,want,70
323,81abd65a-3b76-4574-a0a7-db6bf7184ae2,adore,31-08-2020 00:39,video,food,positive,72,,,,,,love,65,,love,65
349,f332d362-dc48-46c2-a64b-641157c0987e,adore,26-07-2020 19:34,GIF,soccer,positive,72,,,,,,peeking,35,,,
373,a2e93b29-9259-4092-a4d7-62d5e823bb74,adore,26-01-2021 19:53,video,public speaking,positive,72,,,,,,scared,15,,,
375,a2e93b29-9259-4092-a4d7-62d5e823bb74,adore,19-05-2021 16:20,video,public speaking,positive,72,,,,,,super love,75,,,
378,a2e93b29-9259-4092-a4d7-62d5e823bb74,adore,12-04-2021 17:12,video,public speaking,positive,72,,,,,,want,70,,,
407,9b3a6d30-48e8-476c-82be-9031524bd04d,adore,07-11-2020 01:54,video,food,positive,72,,,,,,worried,12,,,
419,850fe90d-47d6-4eb7-b9c8-810afcb99ce9,adore,21-05-2021 12:47,video,tennis,positive,72,,,,,,,,,,
457,850fe90d-47d6-4eb7-b9c8-810afcb99ce9,adore,08-05-2021 18:54,video,tennis,positive,72,,,,,,,,,,
506,f98dde71-ce1d-4f6c-bb05-ae05779d2207,adore,07-09-2020 11:48,GIF,soccer,positive,72,,,,,,,,,,
